index,title,code
1,위험단면 둘레길이 산정,KDS 14 20 22_4.11.1_(3)
2,콘크리트 설계전단강도 산정 (2방향 전단강도),KDS 14 20 22_4.11.2_(1)
3,2방향 전단강도 산정 (Vc),KDS 14 20 22_4.11.2_(2)
4,2방향 전단강도 산정 (Vc),KDS 14 20 22_4.11.2_(5)
5,전단철근 배근 조건,KDS 14 20 22_4.11.3_(1)
6,Vs 산정,KDS 14 20 22_4.11.3_(2)
7,강도감소계수(∅) 산정,KDS 14 20 10_4.2.3_(2)_③
8,설계전단강도 산정,KDS 14 20 22_4.1.1_(1)
