index,title,code
1,콘크리트 설계전단강도 산정 (1방향 전단강도),KDS 14 20 22_4.2.1_(1)_①
2,전단철근 배근 조건,KDS 14 20 22_4.11.3_(1)
3,Vs 산정,KDS 14 20 22_4.11.3_(2)
4,강도감소계수(∅) 산정,KDS 14 20 10_4.2.3_(2)_③
5,설계전단강도 산정,KDS 14 20 22_4.1.1_(1)
