index,title,code
9,계면전단 검토,KDS 24 14 21_4.1.2.4_(1)
10,종방향 전단응력 산정,KDS 24 14 21_4.1.2.4_(1)
11,횡방향 소요철근량 검토,KDS 24 14 21_4.1.2.4_(2)
13,플랜지 콘크리트 압축파괴 방지 검토,KDS 24 14 21_4.1.2.4_(3)
