index,title,code
1,위험단면 둘레길이 산정,KDS 14 20 22_4.11.1_(3)
2,2방향 전단강도 산정 (Vc),KDS 14 20 22_4.11.2_(2)
3,2방향 전단강도 산정 (Vc),KDS 14 20 22_4.11.2_(5)
4,전단철근 배근 조건,KDS 14 20 22_4.11.3_(1)
5,Vs 산정,KDS 14 20 22_4.11.3_(2)
6,강도감소계수(∅) 산정,KDS 14 20 10_4.2.3_(2)_③
7,설계전단강도 산정,KDS 14 20 22_4.1.1_(1)
